x/c,Cp,Cp,Cp,Cp,Cp,Cp
AoA [deg] →,0,2.1,4.2,6.3,8.5,10.6
0,0.5,0.41,0.17,-0.29,-0.92,-1.685
0.01,0.13,-0.2,-0.575,-1.125,-1.75,-2.445
0.03,-0.09,-0.345,-0.64,-1.01,-1.42,-1.795
0.08,-0.225,-0.405,-0.595,-0.82,-1,-1.255
0.15,-0.25,-0.385,-0.51,-0.64,-0.77,-0.915
0.225,-0.255,-0.355,-0.445,-0.545,-0.645,-0.725
0.35,-0.24,-0.3,-0.355,-0.42,-0.465,-0.49
0.5,-0.14,-0.175,-0.205,-0.23,-0.245,-0.245
0.65,-0.06,-0.08,-0.09,-0.1,-0.11,-0.12
0.75,0,-0.01,-0.015,-0.02,-0.035,-0.065
0.85,0.03,0.025,0.025,0.025,0.01,-0.02
0.95,0.08,0.085,0.085,0.085,0.06,0.06
0.95,0.075,0.08,0.085,0.085,0.075,0.07
0.85,0.035,0.045,0.055,0.07,0.07,0.07
0.75,-0.005,0.005,0.025,0.045,0.055,0.065
0.65,-0.04,-0.01,0.01,0.035,0.055,0.075
0.5,-0.145,-0.11,-0.04,0.005,0.045,0.085
0.35,-0.24,-0.175,-0.11,-0.035,0.025,0.09
0.225,-0.255,-0.16,-0.065,0.03,0.11,0.19
0.15,-0.23,-0.1,0.01,0.13,0.22,0.3
0.08,-0.18,-0.01,0.125,0.255,0.35,0.435
0.03,-0.045,0.18,0.335,0.46,0.515,0.53
0.01,0.135,0.355,0.475,0.52,0.47,0.335
